# Technologu prefixes from read IDs
# @HWI-Mxxxx or @Mxxxx - MiSeq
# @HWUSI - GAIIx
# @HWI-Dxxxx - HiSeq 2000/2500
# @Kxxxx - HiSeq 3000(?)/4000
# @Nxxxx - NextSeq 500/550
# @Axxxxx - NovaSeq
# @Vxxxxx = NextSeq 2000
# @AAxxxxx - NextSeq 2000 P1/P2/P3
# _2225* - NextSeq P4
# @Hxxxxxx - NovaSeq S1/S2/S4
#
# Sample sheet for Illumina sequencing
sample_ID,fastq_1,fastq_2
HiC_NT5_rep1,SRR1658525_1.fastq.gz,SRR1658525_2.fastq.gz
HiC_NT25_rep2,SRR1658526_1.fastq.gz,SRR1658526_2.fastq.gz
HiC_NT53_rep3,SRR1658527_1.fastq.gz,SRR1658527_2.fastq.gz
HiC_NT89_rep4,SRR1658528_1.fastq.gz,SRR1658528_2.fastq.gz

